,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
25,10.0,0.0,0.0,10.0,10.0,20.0,10.0,10.0,10.0,40.0,0.0,0.0,20.0,10.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,20.0,40.0,40.0,40.0,10.0,20.0,20.0,40.0,20.0,10.0,10.0,40.0,20.0,40.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,-12600.0,0.0,10.0,10.0
26,20.0,0.0,0.0,20.0,10.0,40.0,10.0,10.0,20.0,40.0,0.0,0.0,10.0,10.0,0.0,10.0,20.0,0.0,20.0,20.0,40.0,0.0,40.0,10.0,10.0,10.0,40.0,10.0,10.0,40.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,40.0,-6300.0,0.0,10.0,10.0
27,10.0,0.0,0.0,10.0,10.0,10.0,20.0,20.0,20.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,40.0,10.0,80.0,0.0,40.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,-12600.0,0.0,10.0,20.0
28,10.0,0.0,0.0,20.0,10.0,10.0,40.0,40.0,20.0,20.0,0.0,0.0,40.0,20.0,0.0,10.0,20.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,20.0,10.0,20.0,10.0,10.0,20.0,40.0,20.0,20.0,40.0,10.0,20.0,20.0,10.0,40.0,40.0,20.0,10.0,20.0,10.0,10.0,10.0,-25200.0,0.0,10.0,10.0
29,20.0,0.0,0.0,40.0,10.0,10.0,10.0,20.0,10.0,40.0,0.0,0.0,40.0,10.0,0.0,10.0,40.0,0.0,10.0,40.0,10.0,0.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,80.0,10.0,10.0,10.0,40.0,20.0,40.0,40.0,10.0,20.0,10.0,40.0,10.0,40.0,10.0,20.0,10.0,-50400.0,0.0,20.0,10.0
30,10.0,0.0,0.0,10.0,10.0,0.0,10.0,20.0,10.0,20.0,0.0,0.0,10.0,20.0,0.0,20.0,0.0,0.0,10.0,10.0,20.0,0.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,20.0,5.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,0.0,40.0,10.0
31,40.0,0.0,0.0,10.0,10.0,0.0,10.0,40.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,40.0,40.0,10.0,20.0,40.0,10.0,10.0,10.0,80.0,10.0,20.0,10.0,10.0,40.0,10.0,40.0,10.0,40.0,40.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0
32,40.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,20.0,10.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,20.0,20.0,20.0,0.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,20.0,20.0,0.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,40.0,10.0,40.0,40.0,20.0,20.0,20.0,10.0,0.0,10.0,10.0
33,10.0,0.0,0.0,10.0,0.0,0.0,20.0,20.0,10.0,20.0,0.0,0.0,80.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0,0.0,20.0,40.0,40.0,10.0,10.0,10.0,10.0,5.0,40.0,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0,0.0,10.0,10.0
34,20.0,0.0,0.0,20.0,0.0,0.0,10.0,10.0,20.0,40.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0,0.0,40.0,10.0,40.0,10.0,10.0,20.0,10.0,10.0,20.0,0.0,20.0,20.0,40.0,40.0,10.0,10.0,20.0,10.0,40.0,10.0,20.0,20.0,10.0,10.0,20.0,0.0,10.0,40.0
35,10.0,0.0,0.0,40.0,0.0,0.0,20.0,10.0,40.0,10.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,40.0,10.0,20.0,0.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0,0.0,20.0,0.0,10.0,10.0,5.0,10.0,10.0,10.0,20.0,40.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,0.0,20.0,40.0
36,20.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,10.0,40.0,40.0,0.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,0.0,10.0,0.0,20.0,10.0,10.0,20.0,20.0,20.0,40.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,0.0,10.0,10.0
37,20.0,0.0,0.0,10.0,0.0,0.0,20.0,40.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,10.0,40.0,10.0,0.0,20.0,20.0,10.0,20.0,10.0,10.0,20.0,0.0,20.0,0.0,40.0,20.0,20.0,40.0,10.0,20.0,10.0,20.0,40.0,10.0,10.0,10.0,10.0,40.0,10.0,0.0,10.0,10.0
38,40.0,0.0,0.0,10.0,0.0,0.0,40.0,10.0,20.0,20.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,20.0,40.0,20.0,40.0,20.0,20.0,20.0,0.0,80.0,0.0,20.0,10.0,20.0,10.0,10.0,80.0,20.0,20.0,40.0,10.0,10.0,20.0,20.0,10.0,10.0,0.0,20.0,40.0
39,40.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,40.0,10.0,10.0,20.0,20.0,0.0,10.0,0.0,20.0,20.0,10.0,10.0,10.0,20.0,40.0,20.0,10.0,10.0,20.0,40.0,40.0,10.0,20.0,0.0,40.0,10.0
40,10.0,0.0,0.0,10.0,0.0,0.0,20.0,40.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,20.0,0.0,20.0,10.0,20.0,10.0,20.0,40.0,40.0,0.0,10.0,0.0,40.0,40.0,10.0,10.0,10.0,10.0,20.0,40.0,20.0,20.0,40.0,10.0,10.0,10.0,40.0,0.0,10.0,40.0
41,20.0,0.0,0.0,10.0,0.0,0.0,80.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,40.0,10.0,10.0,0.0,20.0,10.0,20.0,20.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,0.0,20.0,40.0
42,80.0,0.0,0.0,20.0,0.0,0.0,10.0,20.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0,20.0,0.0,10.0,10.0,40.0,10.0,10.0,20.0,10.0,0.0,20.0,0.0,10.0,20.0,0.0,40.0,20.0,10.0,40.0,20.0,20.0,20.0,10.0,10.0,20.0,40.0,10.0,0.0,20.0,10.0
43,10.0,0.0,0.0,40.0,0.0,0.0,10.0,40.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,20.0,40.0,10.0,20.0,40.0,10.0,20.0,0.0,80.0,0.0,10.0,40.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,0.0,20.0,10.0
44,20.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,40.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,40.0,0.0,40.0,10.0,10.0,10.0,40.0,20.0,40.0,0.0,20.0,0.0,10.0,10.0,0.0,20.0,20.0,20.0,10.0,20.0,20.0,10.0,40.0,40.0,40.0,10.0,20.0,0.0,20.0,10.0
45,10.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0,20.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,40.0,10.0,0.0,10.0,0.0,20.0,10.0,0.0,20.0,20.0,10.0,10.0,20.0,40.0,20.0,10.0,40.0,40.0,10.0,40.0,0.0,40.0,20.0
46,20.0,0.0,0.0,20.0,0.0,0.0,40.0,10.0,20.0,40.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,20.0,0.0,20.0,40.0,20.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,40.0,20.0,10.0,20.0,20.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,0.0,10.0,40.0
47,10.0,0.0,0.0,40.0,0.0,0.0,10.0,20.0,20.0,40.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,40.0,20.0,40.0,0.0,10.0,10.0,10.0,20.0,20.0,20.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,40.0,80.0,40.0,10.0,20.0,10.0,10.0,40.0,10.0,0.0,10.0,10.0
48,10.0,0.0,0.0,20.0,0.0,0.0,10.0,80.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,20.0,10.0,40.0,40.0,10.0,10.0,0.0,20.0,0.0,10.0,20.0,0.0,10.0,20.0,10.0,10.0,20.0,40.0,20.0,40.0,20.0,20.0,10.0,10.0,0.0,20.0,10.0
49,10.0,0.0,0.0,20.0,0.0,0.0,10.0,10.0,20.0,20.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,20.0,10.0,10.0,0.0,40.0,10.0,10.0,10.0,10.0,20.0,10.0,0.0,40.0,0.0,20.0,10.0,0.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,40.0,10.0,20.0,10.0,0.0,40.0,20.0
50,20.0,0.0,0.0,10.0,0.0,0.0,40.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,40.0,10.0,10.0,0.0,10.0,10.0,20.0,10.0,10.0,20.0,20.0,0.0,10.0,0.0,10.0,10.0,0.0,40.0,10.0,20.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,20.0,0.0,10.0,10.0
51,20.0,0.0,0.0,20.0,0.0,0.0,40.0,10.0,20.0,20.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,40.0,40.0,10.0,20.0,80.0,10.0,10.0,20.0,10.0,20.0,40.0,0.0,10.0,10.0
52,20.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0,40.0,10.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,10.0,20.0,10.0,0.0,10.0,10.0,20.0,40.0,40.0,10.0,20.0,0.0,40.0,0.0,20.0,10.0,0.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,0.0,20.0,20.0
53,40.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,10.0,10.0,0.0,20.0,20.0,80.0,10.0,10.0,20.0,10.0,0.0,40.0,0.0,20.0,20.0,0.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,40.0,20.0,0.0,10.0,20.0
54,10.0,0.0,0.0,20.0,0.0,0.0,20.0,40.0,10.0,10.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,10.0,20.0,20.0,0.0,40.0,40.0,20.0,40.0,20.0,40.0,40.0,0.0,10.0,0.0,10.0,40.0,0.0,20.0,40.0,20.0,10.0,20.0,10.0,10.0,10.0,40.0,40.0,10.0,40.0,0.0,10.0,10.0
55,20.0,0.0,0.0,10.0,0.0,0.0,40.0,40.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,40.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,20.0,5.0,0.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,40.0,10.0,10.0,10.0,0.0,10.0,20.0
56,40.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0,0.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,0.0,20.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,40.0,20.0,20.0,10.0,40.0,20.0,10.0,40.0,20.0,0.0,10.0,40.0
57,10.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,10.0,0.0,20.0,80.0,10.0,40.0,10.0,10.0,20.0,0.0,40.0,0.0,10.0,20.0,0.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,20.0,20.0,40.0,0.0,10.0,10.0
58,10.0,0.0,0.0,80.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,20.0,10.0,20.0,10.0,20.0,0.0,10.0,0.0,20.0,0.0,0.0,20.0,40.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,0.0,20.0,20.0
59,40.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,20.0,20.0,20.0,0.0,10.0,20.0,40.0,20.0,20.0,20.0,10.0,0.0,10.0,0.0,40.0,0.0,0.0,40.0,10.0,20.0,10.0,20.0,20.0,0.0,10.0,20.0,40.0,20.0,10.0,0.0,20.0,10.0
60,10.0,0.0,0.0,10.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,0.0,10.0,0.0,20.0,0.0,0.0,10.0,20.0,10.0,10.0,20.0,40.0,0.0,10.0,40.0,20.0,40.0,10.0,0.0,20.0,40.0
